university,name,title,citations,citations2017,h_index,h_index2017
University of Wisconsin-Madison,Christopher Sullivan,Assistant Professor,86,85,5,5
University of Wisconsin-Madison,Ashley Swanson,Associate Professor,,,,
University of Wisconsin-Madison,Christopher Taber,Professor,10530,4394,33,21
University of Wisconsin-Madison,Marek Weretka,Professor,,,,
University of Wisconsin-Madison,Kenneth West,Professor,42925,13845,48,25
University of Wisconsin-Madison,Matthew Wiswall,Professor,4544,3526,25,23
University of Wisconsin-Madison,Randall Wright,Professor,21726,6480,67,40
University of Wisconsin-Madison,Kohei Yata,Assistant Professor,,,,
Yale,Joseph Altonji,Professor,26830,9312,51,37
Yale,Donald Andrews,Professor,,,,
Yale,Costas Arkolakis,Professor,6799,4245,21,20
Yale,Orazio Attanasio,Professor,26978,10981,85,62
Yale,Dirk Bergemann,Professor,10267,5494,44,37
Yale,Lauren Falcao Bergquist,Assistant Professor,409,380,6,6
Yale,Steven Berry,Professor,22146,7838,35,26
Yale,Xiaohong Chen,Professor,22572,11326,74,56
Yale,Eduardo Davila,Assistant Professor,874,790,10,10
Yale,José-Antonio Espín-Sánchez,Assistant Professor,,,,
Yale,Ray Fair,Professor,,,,
Yale,Mira Frick,Assistant Professor,283,266,8,8
Yale,John Geanakoplos,Professor,20635,5401,57,35
Yale,Pinelopi Goldberg,Professor,18785,7621,41,33
Yale,Philip Haile,Professor,3962,1576,19,17
Yale,Marina Halac,Professor,1249,937,15,14
Yale,Charles Hodgson,Assistant Professor,83,82,4,4
Yale,Johannes Hörner,Professor,,,,
Yale,John Eric Humphries,Assistant Professor,2578,2011,20,17
Yale,Zhen Huo,Assistant Professor,982,902,14,13
Yale,Mitsuru Igami,Associate Professor,659,511,10,10
Yale,Ryota Iijima,Assistant Professor,571,487,12,11
Yale,Gerald Jaynes,Professor,,,,
Yale,Amit Khandelwal,Professor,,,,
Yale,Yuichi Kitamura,Professor,,,,
Yale,Alvin Klevorick,Professor,,,,
Yale,Samuel Kortum,Professor,29297,9990,39,27
Yale,Naomi Lamoreaux,Professor,6482,1978,40,25
Yale,Ilse Lindenlaub,Associate Professor,392,351,7,7
Yale,Giovanni Maggi,Professor,6578,1822,25,22
Yale,Costas Meghir,Professor,30583,11686,77,57
Yale,Mushfiq Mobarak,Professor,9894,6979,41,40
Yale,Giuseppe Moscarini,Professor,3747,1757,28,23
Yale,Kaivan Munshi,Professor,8577,3880,30,23
Yale,Yusuke Narita,Assistant Professor,652,556,11,10
Yale,Christopher A. Neilson,Professor,3268,2348,23,21
Yale,William Nordhaus,Professor,95216,30031,119,76
Yale,Cormac O'Dea,Assistant Professor,1328,819,16,14
Yale,Gerard Padro,Professor,,,,
Yale,Rohini Pande,Professor,18172,10836,47,44
Yale,Michael Peters,Associate Professor,,,,
Yale,Benjamin Polak,Professor,1659,462,20,12
Yale,Mark Rosenzweig,Professor,45946,12228,96,50
Yale,Nicholas Ryan,Assistant Professor,1185,987,11,11
Yale,Larry Samuelson,Professor,,,,
Yale,Anna Sanktjohanser,Assistant Professor,,,,
Yale,Katja Seim,Professor,2974,1352,21,18
Yale,Tony Smith,Professor,,,,
Yale,Philipp Strack,Associate Professor,1803,1589,24,23
Yale,Aleh Tsyvinski,Professor,6660,3621,35,27
Yale,Ed Vytlacil,Professor,,,,
Yale,Fabrizio Zilibotti,Professor,18613,7613,47,36
